Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Disc. Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
109 Piscium b,6.21,,1075.2,2.131,,radial vel.,1999,106,1.11,5680,
16 Cygni Bb,1.68,,798.5,1.681,,radial vel.,1996,69.8,0.99,5674,
23 Librae b,1.59,,258.19,0.81,,radial vel.,1999,72,1.1,5585,
47 Ursae Majoris b,2.53,,1078,2.1,,radial vel.,1996,45.9,1.03,5892,
51 Pegasi b,0.472,,4.230785,0.0527,,radial vel.,1995,50.1,1.12,5793,Also known as Dimidium. First exoplanet discovered orbiting a main-sequence star
55 Cancri b,0.8306,,14.65152,0.115227,,radial vel.,1996,40.9,0.91,5196,
70 Virginis b,7.4,,116.6926,0.481,,radial vel.,1996,59.1,1.09,5439,
Gliese 86 b,3.91,,15.76491,0.113,,radial vel.,1999,35.6,0.77,5151,
Gliese 876 b,2.2756,,61.1166,0.208317,,radial vel.,1998,15,0.33,,
HD 75289 b,0.467,,3.509267,0.0482,,radial vel.,1999,94.4,1.21,6095,
HD 89744 b,8.44,,256.78,0.918,,radial vel.,1999,130,1.56,6291,
HD 114762 b,10.98,1.11,83.9151,0.353,,radial vel.,1989,132.3,0.83,5673,First extrasolar planet discovered[2]
HD 130322 b,1.15,,10.70871,0.0925,,radial vel.,1999,97.1,0.92,5387,
HD 168443 b,7.659,,58.11247,0.2931,,radial vel.,1998,123.5,0.99,5491,
HD 177830 b,1.49,,406.6,1.2218,,radial vel.,1999,192.5,1.47,4949,
HD 187123 b,0.523,,3.0965828,0.0426,,radial vel.,1998,156.3,1,5830,
HD 192263 b,0.733,,24.3587,0.15312,,radial vel.,1999,64.9,0.81,4996,
HD 195019 b,3.69,,18.20132,0.1388,,radial vel.,1998,121.8,1.07,5788,
HD 209458 b,,1.32,3.52474859,,,radial vel.,1999,153.6,1.1,,
HD 210277 b,1.29,,442.19,1.138,,radial vel.,1998,69.4,1.01,5555,
HD 217107 b,1.39,,7.126816,0.0748,,radial vel.,1998,64.3,1.02,5646,
HD 222582 b,7.75,,572.38,1.347,,radial vel.,1999,136.8,0.99,5727,
Iota Horologii b,2.13,,312,0.91,,radial vel.,1999,56.2,,,
PSR B1257+12 b,0.00006,,25.262,0.19,,timing,1994,2000,,,Least massive exoplanet known. Also known as Draugr.
PSR B1257+12 c,0.01353,,66.5419,0.36,,timing,1992,2000,,,Also known as Poltergeist
PSR B1257+12 d,0.01227,,98.2114,0.46,,timing,1992,2000,,,Also known as Phobetor
Tau Boötis b,4.32,,3.3124568,0.049,,radial vel.,1996,51,1.34,6400,
Upsilon Andromedae b,0.6876,,4.617033,0.059222,,radial vel.,1996,43.9,1.3,,
Upsilon Andromedae c,1.981,,241.258,0.827774,,radial vel.,1999,43.9,1.3,,
Upsilon Andromedae d,4.132,,1276.46,2.51329,,radial vel.,1999,43.9,1.3,,
11 Comae Berenices b,19.4,,326.03,1.29,,radial vel.,2007,360.8,2.7,4742,
11 Ursae Minoris b,10.5,,516.22,1.54,,radial vel.,2009,389.7,1.8,4340,
14 Andromedae b,4.8,,185.84,0.83,,radial vel.,2008,249.2,2.2,4813,
14 Herculis b,4.64,,1773.4,2.77,,radial vel.,2002,59.2,0.9,5311,
18 Delphini b,10.3,,993.3,2.6,,radial vel.,2008,238,2.3,4979,
1RXS J160929.1-210524 b,8,,,330,,imaging,2008,470,0.85,4060,
23 Librae c,0.82,,5000,5.8,,radial vel.,2009,72,1.1,5585,
2M1207b,4,,,46,,imaging,2004,171,0.02,,The first exoplanet discovered around a brown dwarf
2MASS J21402931+1625183 Ab,20.95,0.92,7336.5,,,imaging,2009,82,0.08,2300,
30 Arietis Bb,9.88,,335.1,0.995,,radial vel.,2009,128.6,1.16,6300,
38 Virginis b,4.51,,825.9,1.82,,radial vel.,2002,106.8,1.18,6557,
4 Ursae Majoris b,7.1,,269.3,0.87,,radial vel.,2006,252,1.23,4415,
41 Lyncis b,2.7,,184.02,0.81,,radial vel.,2007,287.9,2.1,4753,
42 Draconis b,3.88,,479.1,1.19,,radial vel.,2008,317.3,0.98,4200,
47 Ursae Majoris c,0.54,,2391,3.6,,radial vel.,2001,45.9,1.03,5892,
47 Ursae Majoris d,1.64,,14002,11.6,,radial vel.,2009,45.9,1.03,5892,
54 Piscium b,0.229,,62.218,0.295,,radial vel.,2003,36,0.88,5221,
55 Cancri c,0.1714,,44.4175,0.241376,,radial vel.,2004,40.9,0.91,5196,
55 Cancri d,3.878,,4825,5.503,,radial vel.,2002,40.9,0.91,5196,
55 Cancri e,0.02542,0.17,0.736539,0.01544,,radial vel.,2004,40.9,0.91,5196,
55 Cancri f,0.141,,262,0.788,,radial vel.,2007,40.9,0.91,5196,
6 Lyncis b,2.21,,874.774,2.18,,radial vel.,2008,185.7,1.7,4978,
61 Virginis b,0.016,,4.215,0.050201,,radial vel.,2009,27.8,0.94,5577,
61 Virginis c,0.057,,38.021,0.2175,,radial vel.,2009,27.8,0.94,5577,
61 Virginis d,0.072,,123.01,0.476,,radial vel.,2009,27.8,0.94,5577,
79 Ceti b,0.26,,75.523,0.363,,radial vel.,2000,117.1,1.12,5794,
81 Ceti b,5.3,,952.7,2.5,,radial vel.,2008,317.0,2.4,4785,
83 Leonis Bb,0.079,,17.054,0.123,,radial vel.,2004,182,0.85,4929,
91 Aquarii b,3.2,,181.4,0.7,,radial vel.,2003,148.5,1.4,4665,
94 Ceti Ab,1.37,,466.2,1.305,,radial vel.,2003,73.0,1.36,6188,
AB Pictoris b,13.5,,,260,,imaging,2005,148.5,,,
BD+14 4559 b,1.47,,268.94,0.777,,radial vel.,2009,163.2,0.86,5008,
BD+20 2457 b,21.42,,379.63,1.45,,radial vel.,2009,650 ± 330,2.8,4137,
BD+20 2457 c,12.47,,621.99,2.01,,radial vel.,2009,650 ± 330,2.8,4137,
BD-08 2823 b,0.045,,5.6,0.056,,radial vel.,2009,137.3,0.74,4746,
BD-08 2823 c,0.33,,237.6,0.68,,radial vel.,2009,137.3,0.74,4746,
BD-10 3166 b,0.458,,3.48777,0.0452,,radial vel.,2000,260,1.01,5393,
BD-17 63 b,5.1,,655.6,1.34,,radial vel.,2008,122.4,0.74,4714,
Beta Pictoris b,,,7665,9.1,,imaging,2008,62.9,1.76,,
Chi Virginis b,11.09,,835.477,2.14,,radial vel.,2009,290,2.17,4445,
CHXR 73 b,12.569,,,210,,imaging,2006,550,0.35,,
CT Chamaeleontis b,17,2.2,,440,,imaging,2007,540,,,
COROT-1b,1.03,1.49,1.5089557,,,transit,2008,1560,0.95,5950,
COROT-2b,3.47,1.466,1.7429935,0.02798,,transit,2007,650,0.96,5625,
COROT-3b,21.66,1.01,4.2568,,,transit,2008,2200,1.37,6740,
COROT-4b,0.72,1.19,9.20205,0.09,,transit,2008,2507 ± 205,1.16,6190,
COROT-5b,0.467,1.388,4.0378962,0.04947,,transit,2009,1304,1,6100,
COROT-6b,2.96,1.166,8.886593,0.0855,,transit,2009,2085 ± 66,1.05,6090,
COROT-7b,0.018,0.141,0.85359159,0.017016,,transit,2009,501,0.91,5259,
COROT-7c,0.02643,,3.698,0.046,,radial vel.,2009,501,0.91,5259,
COROT-9b,0.84,1.05,95.2738,0.407,,transit,2009,1500,0.99,5625,
DH Tauri b,11,,,330,,imaging,2004,460,0.33,,
DP Leonis b,6.05,,10220,8.19,,timing,2009,1304,0.69,,
Epsilon Eridani b,1.55,,2502,3.39,,radial vel.,2000,10.5,0.83,,Controversial
Epsilon Reticuli Ab,1.56,,428.1,1.271,,radial vel.,2000,59.5,1.23,4846,
Epsilon Tauri b,7.6,,594.9,1.93,,radial vel.,2006,155.0,2.7,4901,
Eta2 Hydri b,6.54,,711,1.93,,radial vel.,2004,216.9,1.91,4970,
FU Tauri b,16,,,800,,imaging,2008,460,0.05,2838,
Fomalhaut b,,,555530,160,,imaging,2008,25.1,2,,First extrasolar planet discovered by indirect imaging (visible light)[3]
Gamma1 Leonis b,8.78,,428.5,1.19,,radial vel.,2009,125.6,1.23,4330,
Gamma Cephei Ab,1.85,,903.3,2.05,,radial vel.,2003,45.0,1.4,,
Gliese 179 b,0.82,,2288,2.41,,radial vel.,2009,39.5,0.36,3370,
Gliese 317 b,2.5,,692,1.15,,radial vel.,2007,49,0.42,3510,
Gliese 436 b,0.07,0.372,2.64388312,0.0291,,radial vel.,2004,33.4,0.47,,
Gliese 581 b,0.0497,,5.3686,0.04061,,radial vel.,2005,20.5,0.31,,
Gliese 581 c,0.0173,,12.914,0.0721,,radial vel.,2007,20.5,0.31,,
Gliese 581 e,0.0053,,3.149,0.02815,,radial vel.,2009,20.5,0.31,,
Gliese 649 b,0.328,,598.3,1.135,,radial vel.,2009,33.7,0.54,3700,
Gliese 674 b,0.035,,4.6938,0.039,,radial vel.,2007,14.8,0.35,3600,
Gliese 832 b,0.68,,3657,3.56,,radial vel.,2008,16.1,0.45,3472,
Gliese 849 b,0.91,,1845,2.32,,radial vel.,2006,28.6,0.49,,
Gliese 876 c,0.7142,,30.0881,0.12959,,radial vel.,2000,15,0.33,,
Gliese 876 d,0.021,,1.93778,0.020807,,radial vel.,2005,15,0.33,,
Gliese 1214 b,0.0197,0.254,1.58040456,0.01411,,transit,2009,42 ± 3,0.16,3170,"The most likely known candidate for being an ocean planet.[4] Nicknamed ""water world""."
Gliese 3021 b,3.37,,133.71,0.49,,radial vel.,2000,57.5,0.9,5540,
GQ Lupi b,20,3,,100,,imaging,2004,450,0.7,,
HAT-P-1b,0.525,1.319,4.46529976,0.05561,1322,transit,2006,450,1.15,5980,
HAT-P-2b,9.09,1.157,5.6334729,0.06878,,transit,2007,441.4,1.36,6290,
HAT-P-3b,0.591,0.827,2.899736,0.03866,,transit,2007,450,0.92,5185,
HAT-P-4b,0.671,1.274,3.056536,0.04438,,transit,2007,1020,1.26,5860,
HAT-P-5b,1.06,1.26,2.788491,0.04075,,transit,2007,1100,1.16,5960,
HAT-P-6b,1.057,1.33,3.852985,0.05235,,transit,2007,850,1.29,6570,
HAT-P-7b,1.682,1.491,2.2047372,0.03676,2121,transit,2008,1000,1.47,6441,
HAT-P-8b,1.52,1.5,3.0763776,0.0487,,transit,2008,750,1.28,6200,
HAT-P-9b,0.78,1.4,3.92289,0.053,,transit,2008,1600,1.28,6350,
HAT-P-11b,0.081,0.422,4.8878162,0.053,750,transit,2008,120,0.81,4780,
HAT-P-12b,0.211,0.959,3.2130598,0.0384,,transit,2009,465,0.73,4650,
HAT-P-13b,0.851,1.272,2.91625,,,transit,2009,700,1.22,5653,
HAT-P-13c,14.28,,446.27,,,radial vel.,2009,700,1.22,5653,
HD 142 b,1.25,,349.7,1.02,,radial vel.,2001,83.6,1.23,6245,
HD 2039 b,6.11,,1120,2.23,,radial vel.,2002,293.1,1.17,5941,
HD 2638 b,0.48,,3.4442,0.044,,radial vel.,2005,175.2,0.93,5192,
HD 4113 b,1.56,,526.62,1.28,,radial vel.,2007,143.7,0.99,5688,
HD 4203 b,1.82,,437.05,1.1735,,radial vel.,2001,253.8,1.13,5702,
HD 4208 b,0.804,,828,1.65,,radial vel.,2001,107,0.87,5600,
HD 4308 b,0.0442,,15.56,0.115,,radial vel.,2005,71.3,0.83,5685,
HD 4313 b,2.3,,356,1.19,,radial vel.,2009,428.6,1.72,5035,
HD 5319 b,1.76,,641,1.6697,,radial vel.,2007,370,1.51,4958,
HD 6434 b,0.44,,22.017,0.148,,radial vel.,2003,131.5,0.89,5690,
HD 6718 b,1.56,,2496,3.56,,radial vel.,2009,179,0.96,5746,
HD 7924 b,0.02731,,5.39792,0.05664,826,radial vel.,2008,54.9,0.83,5075,
HD 8574 b,1.8,,227,0.757,,radial vel.,2002,144,1.12,6050,
HD 8673 b,14.2,,1634,3.02,,radial vel.,2009,124.8,,,
HD 9446 b,0.7,,30.052,0.189,,radial vel.,2009,172.4,1,5793,
HD 9446 c,1.82,,192.9,0.654,,radial vel.,2009,172.4,1,5793,
HD 10647 b,0.94,,989.2,2.015,,radial vel.,2006,56.6,1.11,6218,
HD 11506 b,4.21,,1627.5,2.708,,radial vel.,2007,169,1.24,6055,
HD 11506 c,0.36,,223.6,0.721,,radial vel.,2008,169,1.24,6055,
HD 11964 b,0.622,,1945,3.16,,radial vel.,2005,110.8,1.12,5349,
