109 Piscium b,6.21,,1075.2,2.131,,radial vel.,1999,106,1.11,5680,,URL
16 Cygni Bb,1.68,,798.5,1.681,,radial vel.,1996,69.8,0.99,5674,,https://en.wikipedia.org/wiki/16_Cygni_Bb
23 Librae b,1.59,,258.19,0.81,,radial vel.,1999,72,1.1,5585,,https://en.wikipedia.org/wiki/23_Librae_b
47 Ursae Majoris b,2.53,,1078,2.1,,radial vel.,1996,45.9,1.03,5892,,https://en.wikipedia.org/wiki/47_Ursae_Majoris_b
51 Pegasi b,0.472,,4.230785,0.0527,,radial vel.,1995,50.1,1.12,5793,Also known as Dimidium. First exoplanet discovered orbiting a main-sequence star,https://en.wikipedia.org/wiki/51_Pegasi_b
55 Cancri b,0.8306,,14.65152,0.115227,,radial vel.,1996,40.9,0.91,5196,,https://en.wikipedia.org/wiki/55_Cancri_b
70 Virginis b,7.4,,116.6926,0.481,,radial vel.,1996,59.1,1.09,5439,,https://en.wikipedia.org/wiki/70_Virginis_b
Gliese 86 b,3.91,,15.76491,0.113,,radial vel.,1999,35.6,0.77,5151,,https://en.wikipedia.org/wiki/Gliese_86_b
Gliese 876 b,2.2756,,61.1166,0.208317,,radial vel.,1998,15,0.33,,,https://en.wikipedia.org/wiki/Gliese_876_b
HD 75289 b,0.467,,3.509267,0.0482,,radial vel.,1999,94.4,1.21,6095,,https://en.wikipedia.org/wiki/HD_75289_b
HD 89744 b,8.44,,256.78,0.918,,radial vel.,1999,130,1.56,6291,,https://en.wikipedia.org/wiki/HD_89744_b
HD 114762 b,10.98,1.11,83.9151,0.353,,radial vel.,1989,132.3,0.83,5673,First extrasolar planet discovered[2],https://en.wikipedia.org/wiki/HD_114762_b
HD 130322 b,1.15,,10.70871,0.0925,,radial vel.,1999,97.1,0.92,5387,,https://en.wikipedia.org/wiki/HD_130322_b
HD 168443 b,7.659,,58.11247,0.2931,,radial vel.,1998,123.5,0.99,5491,,https://en.wikipedia.org/wiki/HD_168443_b
HD 177830 b,1.49,,406.6,1.2218,,radial vel.,1999,192.5,1.47,4949,,https://en.wikipedia.org/wiki/HD_177830_b
HD 187123 b,0.523,,3.0965828,0.0426,,radial vel.,1998,156.3,1,5830,,https://en.wikipedia.org/wiki/HD_187123_b
HD 192263 b,0.733,,24.3587,0.15312,,radial vel.,1999,64.9,0.81,4996,,https://en.wikipedia.org/wiki/HD_192263_b
HD 195019 b,3.69,,18.20132,0.1388,,radial vel.,1998,121.8,1.07,5788,,https://en.wikipedia.org/wiki/HD_195019_b
HD 209458 b,,1.32,3.52474859,,,radial vel.,1999,153.6,1.1,,,https://en.wikipedia.org/wiki/HD_209458_b
HD 210277 b,1.29,,442.19,1.138,,radial vel.,1998,69.4,1.01,5555,,https://en.wikipedia.org/wiki/HD_210277_b
HD 217107 b,1.39,,7.126816,0.0748,,radial vel.,1998,64.3,1.02,5646,,https://en.wikipedia.org/wiki/HD_217107_b
HD 222582 b,7.75,,572.38,1.347,,radial vel.,1999,136.8,0.99,5727,,https://en.wikipedia.org/wiki/HD_222582_b
Iota Horologii b,2.13,,312,0.91,,radial vel.,1999,56.2,,,,https://en.wikipedia.org/wiki/Iota_Horologii_b
PSR B1257+12 b,0.00006,,25.262,0.19,,timing,1994,2000,,,Least massive exoplanet known. Also known as Draugr.,https://en.wikipedia.org/wiki/PSR_B1257%2B12_b
PSR B1257+12 c,0.01353,,66.5419,0.36,,timing,1992,2000,,,Also known as Poltergeist,https://en.wikipedia.org/wiki/PSR_B1257%2B12_c
PSR B1257+12 d,0.01227,,98.2114,0.46,,timing,1992,2000,,,Also known as Phobetor,https://en.wikipedia.org/wiki/PSR_B1257%2B12_d
Tau Boötis b,4.32,,3.3124568,0.049,,radial vel.,1996,51,1.34,6400,,https://en.wikipedia.org/wiki/Tau_Boötis_b
Upsilon Andromedae b,0.6876,,4.617033,0.059222,,radial vel.,1996,43.9,1.3,,,https://en.wikipedia.org/wiki/Upsilon_Andromedae_b
